IPAddress,MACAddress,SerialNumber,NewIPAddress,Subnet,Gateway
10.228.37.51,B0:37:95:02:44:D7,107MXZJ53773,10.228.37.51,255.255.255.128,10.228.37.1
10.228.37.52,B4:B2:91:BC:1D:F5,107MXSK53774,10.228.37.52,255.255.255.128,10.228.37.1
10.228.37.53,B4:B2:91:BC:1D:F6,107MXTC53777,10.228.37.53,255.255.255.128,10.228.37.1
10.228.37.54,B4:B2:91:BC:1D:DE,107MXLS53776,10.228.37.54,255.255.255.128,10.228.37.1
10.228.37.41,B0:37:95:1F:F1:8F,108MXVWC2487,10.228.37.55,255.255.255.128,10.228.37.1
10.228.37.51,B0:37:95:1F:D5:50,108MXHBC2489,10.228.37.56,255.255.255.128,10.228.37.1
10.228.37.52,B0:37:95:1F:F1:32,108MXRFC2486,10.228.37.57,255.255.255.128,10.228.37.1
10.228.37.53,B0:37:95:1F:F1:2B,108MXBPC2485,10.228.37.58,255.255.255.128,10.228.37.1
10.228.37.42,B4:B2:91:BC:1C:7C,107MXGL8J919,10.228.37.59,255.255.255.128,10.228.37.1
10.228.37.54,B4:B2:91:BC:1C:33,107MXTC8J921,10.228.37.60,255.255.255.128,10.228.37.1
10.228.37.55,B4:B2:91:BC:1C:3C,107MXSK8J918,10.228.37.61,255.255.255.128,10.228.37.1
10.228.37.56,B0:37:95:02:44:D1,107MXQA8J916,10.228.37.62,255.255.255.128,10.228.37.1
